official,code,name,P1,P2,P3,P4,P5,P6,prize
True,ALB1,Megi Reka,1,0,4,0,1,0,0
True,ALB2,Dhespina Pepa Peçini,0,0,0,0,5,0,0
True,ALB3,Arjola Mehmeti,7,0,0,0,0,0,1
True,ALB4,Dea Myshketa,0,0,0,0,0,0,0
False,AUS1,Grace He,7,2,7,7,7,1,4
False,AUS2,Claire Huang,7,0,1,7,7,0,3
False,AUS3,Ruiying Wu,6,1,0,2,0,0,0
False,AUS4,Mikaela Gray,2,2,1,2,6,0,2
True,AUT1,Anna Lenz,1,0,1,0,0,0,0
True,AUT2,Doris Obermaier,1,0,1,2,4,0,0
True,AUT3,Lubing Ruan,0,0,1,0,1,1,0
True,AZE1,Zahra Bayramli,4,1,3,0,7,0,2
True,AZE2,Laman Aghazada,0,0,3,0,0,0,0
True,AZE3,Fidan Garayeva,6,0,1,2,7,0,2
True,AZE4,Aysun Bayramli,4,0,1,2,7,0,2
True,BEL1,Dora Chen,1,1,1,3,7,0,2
True,BEL2,Camille Coppieters,1,0,0,1,0,0,0
True,BEL3,Marie Determe,7,1,0,2,0,0,1
True,BEL4,Camille Laloux,0,0,0,0,0,0,0
True,BGR1,Desislava Nikolova,7,0,1,1,7,0,2
True,BGR2,Kalina Nikolova,7,1,7,2,7,1,3
True,BGR3,Margarita Stefanova,2,0,7,7,7,0,3
True,BGR4,Mihaela Gledacheva,2,0,3,4,7,0,2
True,BIH1,Esma Mašić,7,0,1,0,7,0,2
True,BIH2,Imana Alibašić,6,2,0,2,0,0,0
True,BIH3,Naida Purišević,7,1,7,1,7,0,3
True,BIH4,Hana Ćatić,1,0,2,2,0,0,0
True,BLR1,Kseniya Shastakova,7,1,2,7,7,1,3
True,BLR2,Palina Chernikava,7,1,7,7,7,0,4
True,BLR3,Yuliya Zhautouskaya,7,0,2,7,5,0,3
True,BLR4,Maryna Horbach,7,1,0,2,0,0,1
False,BRA1,Ana Beatriz de Castro Studart,7,0,1,7,4,0,3
False,BRA2,Carolina Moura Valle Costa,4,2,1,6,3,0,2
False,BRA3,Letícia Barbieri Stroeh,7,0,1,3,0,0,2
False,BRA4,Maria Clara de Lacerda Werneck,7,2,1,7,7,1,3
False,CAN1,Elaine Liu,0,0,1,7,0,1,1
False,CAN2,Anna Krokhine,0,2,0,7,4,1,2
False,CAN3,Jennifer Wang,7,1,1,7,7,0,3
False,CAN4,Amelie Zhou,0,0,0,1,0,0,0
False,CHI1,Fernanda Gutiérrez Barros,7,1,1,7,4,0,3
False,CHI2,Lissette Marchandon Figueroa,7,0,1,0,1,1,1
False,CRI1,Kristel Acuña García,1,0,0,0,0,0,0
False,CRI2,Susana Jiménez Valverde,0,0,0,0,0,0,0
False,CRI3,Nicole Lipschitz Kesselman,1,0,1,7,0,0,1
False,CRI4,Maricruz Vásquez Sandí,1,0,1,1,1,0,0
True,CYP1,Rodoula Karyou,0,0,0,0,0,0,0
True,CYP2,Christiana Kosta,1,0,1,0,0,0,0
True,CYP3,Kyriaki Zioga,2,0,0,0,0,0,0
True,CYP4,Semeli Ergatoudi,1,0,0,0,0,0,0
True,CZE1,Adéla Heroudková,4,0,0,2,0,0,0
True,CZE2,Magdaléna Mišinová,7,6,7,7,7,0,4
True,CZE3,Michaela Svatošová,7,0,1,1,1,0,1
True,CZE4,Adéla Karolína Žáčková,4,0,2,0,4,0,0
True,DEN1,Kamille Møller Frost,1,0,0,0,0,0,0
True,DEN2,Ida Sofie Goldschmidt,2,0,0,0,1,0,0
True,DEN3,Bodil Kondrup Vedel,7,0,0,1,4,0,2
False,ECU1,Stephanie Vanessa Gallegos Caamaño,1,0,1,0,1,0,0
False,ECU2,Zhiron Cristina Wu Yuan,2,0,2,2,2,0,0
False,ECU3,Natasha Fernanda Valarezo Oyola,0,0,0,0,1,0,0
False,ECU4,Susana Noemi Guastay Morocho,1,0,0,0,0,0,0
True,ESP1,Teresa Marín Marín,0,0,1,0,0,0,0
True,ESP2,Joana Pech Alberich,7,0,3,2,7,0,3
True,ESP3,Paula Esquerrà Giné,3,2,0,2,0,0,0
True,ESP4,Claudia Morales Aguilar,4,0,0,2,0,0,0
True,FIN1,Ulrika Kaara,0,0,0,3,0,0,0
True,FIN2,Idaliina Kuusisto,6,0,0,1,0,0,0
True,FIN3,Veera Nurmela,2,0,0,2,0,0,0
True,FIN4,Anni Tapionlinna,1,2,1,0,0,0,0
True,FRA1,Elsa Lubek,7,0,1,7,2,0,2
True,FRA2,Anna Luchnikova,3,1,1,7,7,0,3
True,FRA3,Suzanne Mairesse,7,1,0,7,5,0,3
True,FRA4,Émilie Zheng,0,2,0,7,0,0,1
True,GEO1,Ana Onoprishvili,7,2,7,7,7,0,4
True,GEO2,Tamar Korkotashvili,7,2,1,7,7,1,3
True,GEO3,Mariam Ivardava,2,2,1,2,7,0,2
True,GEO4,Maria-Elena Aisha Tskhvediani,2,1,1,7,0,0,2
True,GER1,Martha Friederich,3,0,1,7,0,0,2
True,GER2,Maria Sophie Matthis,7,0,0,6,7,0,3
True,GER3,Xenia Nikola Wagner,6,0,1,0,4,0,2
True,GER4,Sofia Zotova,7,0,2,0,6,0,2
True,HEL1,Konstantina Alexandridou,0,0,1,0,0,0,0
True,HEL2,Maria Athanasiou,1,0,0,0,0,0,0
True,HEL3,Christina Karafyllia,1,0,1,0,4,0,0
True,HEL4,Styliani Pavlidou,1,0,1,0,0,0,0
True,HRV1,Ema Borevković,7,1,0,7,1,0,2
True,HRV2,Ida Kolmanić,7,2,1,3,5,0,3
True,HRV3,Petra Kovačić,7,0,1,1,0,0,1
True,HRV4,Nika Utrobičić,4,0,0,2,4,0,0
True,HUN1,Janka Hámori,7,1,3,7,7,1,4
True,HUN2,Anett Berta Kocsis,1,7,1,1,7,0,2
True,HUN3,Diep Bich Nguyen,7,0,1,3,1,0,2
True,HUN4,Nóra Zoé Velich,7,1,2,2,7,1,3
False,IDN1,Gabriela Erin Mariangel,4,0,0,2,7,0,2
False,IDN2,Kanaya Padma Yudewo,7,0,1,0,7,0,2
False,IDN3,Vanneshia Swiegl Lee,0,1,1,2,3,0,0
False,IND1,Anushka Aggarwal,7,0,1,2,7,0,2
False,IND2,Apoorva Rajadhyaksha,7,0,1,0,2,0,1
True,IRL1,Laura Cosgrave,7,0,0,1,0,0,1
True,IRL2,Tianyiwa Xie,7,1,2,2,4,0,2
True,IRL3,Ellen Li,7,1,0,1,2,0,2
True,IRL4,Meilun Xu,0,0,1,0,1,0,0
False,ISR1,Maya Kleinstein,7,1,0,7,0,0,2
False,ISR2,Roni Hazan,0,0,1,2,1,0,0
False,ISR3,Nicole Grosman,5,0,0,7,0,0,2
False,ISR4,Nogah Friedman,7,1,6,3,7,0,3
True,ITA1,Sabrina Botticchio,7,2,1,7,1,0,3
True,ITA2,Irene Maniglia,7,0,0,2,1,0,1
True,ITA3,Daria Pasqualetti,2,0,1,7,7,0,2
True,ITA4,Gaia Torresani,0,0,1,2,1,0,0
True,KAZ1,Bibigul Konkayeva,7,0,4,0,7,0,3
True,KAZ2,Dilnaz Ualiyeva,7,1,7,4,7,0,4
True,KAZ3,Aruzhan Tuletbekova,4,0,0,0,7,0,2
True,KAZ4,Togzhan Shyntay,7,0,2,7,7,0,3
True,KSV1,Yllka Gashi,0,0,0,0,0,0,0
True,KSV2,Era Syla,7,0,0,7,2,0,2
True,KSV3,Anesë Gashi,3,0,0,0,0,0,0
True,KSV4,Rinesa Hamiti,0,0,0,0,0,0,0
True,LTU1,Elzė Amilevičiūtė,0,1,1,0,0,0,0
True,LTU2,Greta Duko,1,0,1,0,0,0,0
True,LTU3,Neda Narmontaitė,0,0,1,0,0,0,0
True,LTU4,Justina Vaičaitytė,1,1,1,0,6,0,0
True,LUX1,Sasha Biryukov,2,0,0,1,1,0,0
True,LUX2,Laëtitia Braucourt,0,0,0,0,0,0,0
True,LUX3,Angelina Kysil,1,0,0,0,7,0,1
True,LVA1,Sandra Silina,7,0,1,7,0,0,2
True,LVA2,Anna Mikulevica,1,0,1,1,0,0,0
True,LVA3,Paula Greitane,1,0,0,0,0,0,0
True,LVA4,Liva Olina,1,0,0,0,0,0,0
True,MDA1,Rusanda Guzun,0,0,0,1,2,0,0
True,MDA2,Mădălina Griza,1,1,2,7,2,0,2
True,MDA3,Adelina Andrei,7,1,1,2,2,0,2
True,MDA4,Adelina Patlatîi,1,0,1,3,7,0,2
False,MEX1,Ana Paula Jiménez Díaz,7,1,7,6,7,1,4
False,MEX2,Karla Rebeca Munguía Romero,7,1,0,7,7,1,3
False,MEX3,Ana Illanes Martínez de la Vega,7,0,3,7,7,0,3
False,MEX4,Nathalia del Carmen Jasso Vera,1,1,1,2,7,0,2
True,MKD1,Anastasija Tortevska,6,1,1,6,0,0,2
True,MKD2,Hristina Mitreska,3,0,2,6,2,1,2
True,MKD3,Jasna Ilieva,1,0,2,7,7,2,3
True,MKD4,Kristina Taseva,2,0,1,6,0,0,0
True,NLD1,Samantha Li,4,0,0,1,0,0,0
True,NLD2,Ana Maria Mekerishvili,5,0,0,7,1,0,2
True,NLD3,Kati Overbeeke,3,1,0,7,0,0,2
True,NLD4,Hanne Snijders,7,1,2,2,4,0,2
False,NLDB1,Lisa van Barneveld,2,0,0,1,1,0,0
False,NLDB2,Femke Voogt,2,0,1,2,0,0,0
False,NLDB3,Allie Zong,2,0,0,6,0,0,0
False,NLDB4,Naomi Zwaneveld,3,0,1,3,0,0,0
True,NOR1,Zejia He,1,2,1,0,0,0,0
True,NOR2,Vedrana Barisic,0,0,0,0,0,0,0
True,NOR3,Aleksandra Jach,0,0,0,0,0,0,0
True,NOR4,Pratibha Thakur,1,0,1,0,0,0,0
False,PER1,Carla Fermin,6,0,3,7,7,7,4
False,PER2,Flor Luna,7,1,1,3,7,0,3
False,PER3,Patricia Urtecho,1,0,7,0,4,0,2
False,PER4,Angie Alcantara,3,1,1,2,5,0,2
True,POL1,Iga Janik,7,0,1,7,7,0,3
True,POL2,Justyna Jaworska,7,7,7,2,7,1,4
True,POL3,Julia Filip,6,0,5,2,4,0,2
True,POL4,Alicja Pietrzak,3,0,3,2,7,0,2
True,ROU1,Alexandra Timofte,7,1,6,7,7,1,4
True,ROU2,Lucia Rîșnoveanu,7,0,1,2,7,0,2
True,ROU3,Amina Abu Shanab,7,7,6,7,7,5,4
True,ROU4,Diana Țolu,7,1,6,2,7,0,3
True,RUS1,Rozalina Mirgalimova,7,7,7,7,7,1,4
True,RUS2,Ralina Iusupova,7,1,7,0,7,1,3
True,RUS3,Elizaveta Neustroeva,7,7,7,7,7,0,4
True,RUS4,Taisiia Korotchenko,7,7,6,7,7,0,4
False,SAU1,Thana ALhydary,7,0,1,4,7,0,3
False,SAU2,Rafaa Qanash,4,0,2,2,1,0,0
False,SAU3,Joud Bahuwayni,7,0,1,0,7,0,2
False,SAU4,Lara Monagel,1,0,1,0,7,0,1
True,SRB1,Jelena Ivančić,7,7,7,7,7,1,4
True,SRB2,Irina Đanković,7,7,3,7,7,0,4
True,SRB3,Milica Vugdelić,7,0,7,7,7,0,4
True,SRB4,Milja Jovanović,7,1,3,5,7,0,3
True,SUI1,Ema Skottova,1,1,1,7,6,0,2
True,SUI2,Julia Sollberger,2,0,1,1,4,0,0
True,SUI3,Yanta Wang,7,0,0,7,4,0,3
True,SUI4,Rada Kamysheva,3,0,0,2,3,0,0
True,SVK1,Lenka Hake,4,0,1,1,0,0,0
True,SVK2,Lucia Krajčoviechová,7,2,1,1,4,0,2
True,SVK3,Timea Szöllősová,7,0,1,7,7,0,3
True,SVK4,Tereza Škublová,3,0,0,0,7,0,1
True,SVN1,Katarina Grilj,1,0,0,1,0,0,0
True,SVN2,Ana Opalič,1,0,0,0,3,0,0
True,SVN3,Lana Prijon,0,0,0,0,0,0,0
True,SVN4,Neža Vipavc,1,0,0,0,0,0,0
True,TUR1,Betül Akdaş,0,0,1,5,5,0,2
True,TUR2,Kerime Nur Kavadar,7,7,1,7,1,0,3
True,TUR3,Özge Dilay Örüm,3,0,0,0,7,0,1
True,TUR4,Zeynep Taşevli,7,0,1,7,5,0,3
True,UKR1,Yelyzaveta Horokh,7,0,7,2,4,0,3
