official,code,name,P1,P2,P3,P4,P5,P6,prize
True,ALB1,Aleksia Kolo,6,6,0,7,1,0,2
True,ALB2,Heidi Durrёsi,0,0,0,7,0,0,1
True,ALB3,Seli Lulaj,2,0,0,7,1,0,1
True,ALB4,Liljana Petova,4,0,0,5,1,0,0
False,AUS1,Eva Ge,4,2,0,7,0,1,1
False,AUS2,Grace He,2,7,2,7,7,1,3
False,AUS3,Vicky Feng,5,2,0,7,1,0,1
False,AUS4,Evgeniya Artemova,7,7,2,7,3,1,3
True,AUT1,Maria Hammer,4,4,2,1,1,0,0
True,AUT2,Nina Mitrovic,1,6,0,7,5,0,2
True,AUT3,Stefanie Rauch,2,3,0,7,0,1,1
True,AUT4,Lydia Rysavy,0,6,0,7,0,1,1
True,AZE1,Zahra Bayramli,0,0,0,7,0,0,1
True,AZE2,Fidan Garayeva,5,0,2,7,3,0,2
True,AZE3,Shams Aliyeva,7,0,0,3,0,0,1
True,AZE4,Fidan Babayeva,2,1,0,1,1,0,0
True,BEL1,Marie Determe,7,1,0,0,3,0,1
True,BEL2,Marie Peeters,7,2,0,7,0,0,2
True,BEL3,Juliette Sleurs,0,1,0,0,0,0,0
True,BEL4,Elise Taragola,0,2,0,0,0,0,0
True,BGR1,Lyuba Konova,7,4,5,7,2,0,3
True,BGR2,Margarita Stefanova,7,6,0,7,4,1,3
True,BGR3,Marina Boyadzhieva,7,0,7,7,4,0,3
True,BGR4,Mihaela Gledacheva,7,6,7,7,7,1,4
True,BIH1,Lejla Skelić,7,4,2,7,3,1,3
True,BIH2,Nevena Radešić,5,2,0,7,2,0,2
True,BIH3,Naida Purišević,7,1,7,7,3,0,3
True,BIH4,Esma Mašić,7,4,2,7,0,0,2
True,BLR1,Aliaksandra Novik,6,1,0,7,7,1,3
True,BLR2,Palina Chernikava,7,3,7,7,1,1,3
True,BLR3,Mariya Zacharneva,5,3,0,7,1,0,2
True,BLR4,Hanna Blazhko,7,1,0,7,0,1,2
False,BRA1,Mariana Bigolin Groff,7,2,7,7,7,1,4
False,BRA2,Ana Beatriz de Castro Studart,6,2,0,7,1,1,2
False,BRA3,Bruna Shoji Nakamura,4,0,0,3,0,0,0
False,BRA4,Maria Clara de Lacerda Werneck,7,3,0,7,2,1,2
False,CAN1,Katherine Forbes,4,7,0,0,0,0,1
False,CAN2,Anna Krokhine,7,4,2,7,0,0,2
False,CAN3,Elaine Liu,7,3,2,7,0,0,2
False,CAN4,Zixian Wei,0,3,0,7,1,0,1
False,CHI1,Camila Guajardo,7,0,1,7,1,0,2
False,CHI2,Fernanda Gutiérrez,5,0,0,7,0,0,1
False,CHI3,Sofía Rojas,1,0,0,0,0,0,0
False,CHI4,Francisca Aguayo,4,0,0,0,0,0,0
False,CRI1,Ingrid Verónica Salazar Picado,4,0,2,1,1,0,0
False,CRI2,Carolina Zamora Nasralah,4,2,0,0,1,0,0
False,CRI3,Maricruz Vásquez Sandí,5,1,0,1,0,0,0
False,CRI4,Floria Xin Yi Fang Zhang,4,3,0,0,0,1,0
True,CYP1,Eirini Ioannou,6,3,2,7,0,1,2
True,CYP2,Georgia Hadjipanayiotou,4,2,0,2,0,0,0
True,CYP3,Myrsini Semeli Tsiarta,1,1,0,0,0,0,0
True,CYP4,Sonia Kakoulli,0,1,0,0,0,0,0
True,CZE1,Adéla Heroudková,2,2,0,7,4,0,1
True,CZE2,Magdaléna Mišinová,7,7,7,7,5,1,4
True,CZE3,Michaela Svatošová,7,2,0,0,3,0,1
True,CZE4,Adéla Karolína Žáčková,4,0,0,7,0,0,1
True,DEN1,Kamma Dyhr,4,0,0,7,1,0,1
True,DEN2,Kamille Møller Frost,1,3,0,1,0,0,0
True,DEN3,Ida Agerlin Kähler,5,3,0,3,0,0,0
True,DEN4,Astrid Kildelund Rosenkilde,4,1,2,2,0,0,0
False,ECU1,Valeria Estefania Barco Santana,7,0,2,7,0,0,2
False,ECU2,María Gratzia Indacochea Rosado,6,0,2,7,1,0,2
False,ECU3,Stephanie Vanessa Gallegos Caamaño,4,1,0,0,0,0,0
False,ECU4,Zhiron Cristina Wu Yuan,0,1,2,2,0,0,0
True,ESP1,Míriam Lorenzo Laguno,4,5,2,2,2,0,0
True,ESP2,Paula Gazituaga García,2,2,0,0,0,0,0
True,ESP3,Ángela Rodríguez-Izquierdo Gallardo,4,2,0,7,2,0,1
True,ESP4,Beatriz Gonzalo Carvajal,0,1,0,0,1,0,0
True,FIN1,Idaliina Kuusisto,0,4,0,0,1,0,0
True,FIN2,Veera Nurmela,4,1,0,0,1,0,0
True,FIN3,Nerissa Shakespeare,2,4,0,2,0,0,0
True,FIN4,Hilma Tillqvist,0,3,0,0,0,0,0
True,FRA1,Léonie Kittel,7,5,0,7,7,0,3
True,FRA2,Anna Luchnikova,7,7,0,7,7,0,3
True,FRA3,Enora Pétry,7,4,0,7,2,0,2
True,FRA4,Madison Shirazi,4,3,0,0,1,0,0
True,GEO1,Tamar Korkotashvili,7,7,4,7,1,1,3
True,GEO2,Ana Onoprishvili,7,1,7,7,7,1,4
True,GEO3,Keti Sulamanidze,7,0,0,3,0,0,1
True,GEO4,Mariam Ivardava,7,3,0,7,4,0,3
True,GER1,Hannah Boß,5,0,2,7,2,0,2
True,GER2,Maria Matthis,0,6,0,7,1,0,1
True,GER3,Esther Rimmelspacher,7,0,0,7,4,0,2
True,GER4,Sofia Zotova,4,0,0,7,3,1,1
True,HEL1,Danai-Christina Avdela,0,0,0,7,1,0,1
True,HEL2,Eirini Miliori,7,0,6,7,0,0,2
True,HEL3,Konstantina Rasvani,4,0,2,7,0,0,1
True,HEL4,Artemis-Chrysanthi Savva,7,0,2,7,1,0,2
True,HUN1,Anna Kerekes,7,7,7,7,7,1,4
True,HUN2,Anett Berta Kocsis,1,4,0,7,7,0,2
True,HUN3,Janka Hámori,6,3,2,7,7,0,3
True,HUN4,Anna Mészáros,7,0,0,7,5,0,2
False,IND1,Anushka Aggarwal,7,0,4,7,1,0,2
False,IND2,Vempalli Sai Keerthana,5,1,0,7,7,0,2
False,IND3,Rohinee Joshi,7,2,0,7,6,0,3
True,IRL1,Tianyiwa Xie,7,0,4,7,0,0,2
True,IRL2,Laura Cosgrave,4,0,0,7,1,0,1
True,IRL3,Meilun Xu,0,0,0,0,0,0,0
True,IRL4,Yixin Huang,1,0,0,7,0,0,1
False,ISR1,Maya Kleinstein,5,0,0,0,1,0,0
False,ISR2,Sophia Kurbatova,1,1,1,7,1,0,1
False,ISR3,Nicole Grosman,7,0,0,1,3,0,1
True,ITA1,Giorgia Benassi,7,1,0,7,3,0,2
True,ITA2,Sabrina Botticchio,7,1,0,7,4,0,2
True,ITA3,Irene Maniglia,0,4,0,7,0,0,1
True,ITA4,Anna Ulivi,2,6,0,7,3,1,2
False,JPN1,Atsuko Kogachi,7,1,2,7,1,0,2
False,JPN2,Yuka Kuwahara,7,2,4,7,0,0,2
False,JPN3,Yurika Ueshiba,7,4,2,7,5,1,3
False,JPN4,Haruka Watanabe,7,2,2,7,1,0,2
True,KAZ1,Bibigul Konkayeva,7,4,0,7,1,1,2
True,KAZ2,Assel Katayeva,7,1,7,7,1,0,3
True,KAZ3,Dilnaz Ualiyeva,5,0,2,7,1,1,2
True,KAZ4,Aruzhan Sabyrbek,5,1,7,7,0,0,2
True,LTU1,Elzė Amilevičiūtė,4,0,0,0,1,0,0
True,LTU2,Ugnė Milašiūnaitė,7,0,2,7,1,0,2
True,LTU3,Alina Paliulionytė,7,2,7,7,1,0,3
True,LTU4,Julija Paliulionytė,7,3,7,7,4,0,3
True,LUX1,Laëtitia Braucourt,0,1,0,0,2,0,0
True,LUX2,Angelina Kysil,2,0,0,7,1,0,1
True,LVA1,Anete Valnere,7,6,7,7,1,0,3
True,LVA2,Sandra Siliņa,2,0,0,1,0,0,0
True,LVA3,Elizaveta Gavrilova,4,3,0,7,0,0,1
True,LVA4,Leonora Fiļa,4,0,0,7,0,0,1
True,MDA1,Mădălina Griza,7,3,0,7,1,0,2
True,MDA2,Rusanda Guzun,7,1,0,7,1,0,2
True,MDA3,Adelina Andrei,7,2,0,7,0,0,2
True,MDA4,Vlada Gherciu,5,0,4,7,3,0,2
