code,name,P1,P2,P3,P4,P5,P6,prize
BEL1,Elise Delhez,7,1,0,2,0,0,1
BEL2,France Gheeraert,1,1,0,1,0,0,0
BEL3,Elisabeth Gruwé,7,3,0,1,0,0,1
BEL4,Jessica Mulpas,7,5,0,2,0,0,1
BGR1,Pavlena Nenova,7,7,0,7,1,1,3
BGR2,Milena Velikova,7,5,1,6,0,0,2
BGR3,Velina Ivanova,7,7,0,5,7,0,3
BGR4,Vladimira Souvandjieva,7,6,2,7,0,0,3
BLR1,Irina Burak,7,4,0,7,0,0,2
BLR2,Lizaveta Dauhiala,7,5,0,7,7,1,4
BLR3,Varvara Kuzmitskaya,7,7,0,7,0,6,4
BLR4,Anastasiya Zhyrkevich,7,7,0,5,7,1,4
FIN1,Pihla Karanko,7,5,0,1,0,0,1
FIN2,Katja Kulmala,7,2,0,6,0,0,1
FIN3,Neea Palojärvi,1,1,0,2,0,0,0
FIN4,Ella Tamir,5,1,0,2,0,0,0
FRA1,Noémie Cartier,7,1,0,6,0,0,1
FRA2,Alice Contat,7,1,0,2,0,0,1
FRA3,Ippolyti Dellatolas,7,2,0,2,0,0,1
FRA4,Ariane Gayout,7,4,0,2,0,0,1
HUN1,Ágnes Kúsz,7,7,0,4,0,0,2
HUN2,Zsuzsanna Bősze,7,3,3,6,0,0,2
HUN3,Eszter Kabos,7,5,0,6,0,1,2
HUN4,Emese Anna Tóth,7,6,3,6,0,7,4
IRL1,Karen Briscoe,7,0,0,0,0,0,1
IRL2,Aoife Gregg,4,0,0,0,0,0,0
IRL3,Jessica Weitbrecht,1,1,0,2,0,0,0
IRL4,Anna Mustata,7,0,0,0,0,1,1
ITA1,Clara Antonucci,7,4,0,7,0,0,2
ITA2,Alice Cortinovis,7,5,0,7,1,0,2
ITA3,Giada Franz,7,5,0,7,7,1,4
ITA4,Giulia Trevisan,7,4,0,7,0,0,2
LUX1,Christina Meyer,4,0,0,7,0,0,1
LUX2,Tara Aghajani,7,1,0,1,0,0,1
LUX3,Tara Trauthwein,3,1,0,0,0,0,0
LUX4,Nadine Muller,3,0,0,0,0,0,0
LVA1,Anna Bicevska,5,0,0,1,0,0,0
LVA2,Eva Brazevica,7,5,0,1,0,0,1
LVA3,Darta Rituma,1,1,0,1,0,0,0
LVA4,Parsla Esmeralda Sietina,5,6,0,1,0,0,0
NLD1,Chuyao Tong,5,6,0,4,0,0,0
NLD2,Esther Visser,5,2,0,2,0,1,0
NLD3,Maaike Los,7,2,0,1,0,1,1
NLD4,Michelle Sweering,7,5,3,7,0,1,3
NOR1,Ingerid Marie Fosli,7,6,3,7,0,3,3
NOR2,Kari Lovise Lodsby,0,2,0,2,0,1,0
NOR4,Elisabeth Schwarz,7,3,2,2,0,0,1
POL1,Anna Czerwińska,7,5,0,6,0,0,2
POL2,Anna Hoduń,7,3,0,7,7,0,3
POL3,Barbara Mroczek,7,7,2,7,0,6,4
POL4,Anna Olech,7,7,0,4,0,0,2
ROU1,Simona Diaconu,7,7,2,4,7,0,4
ROU2,Andreea Măgălie,7,5,2,7,1,0,3
ROU3,Silvia-Elena Pripoae,7,6,0,7,1,0,3
ROU4,Florina Toma,7,3,0,7,0,0,2
SRB1,Andela Sarkovic,7,7,0,7,7,3,4
SRB2,Tamara Sekularac,7,5,2,7,0,2,3
SRB3,Jelena Trisovic,7,4,0,7,1,0,2
SRB4,Marijana Vujadinovic,7,5,0,7,7,0,3
SUI1,Jana Cslovjecsek,7,6,0,2,0,0,1
SUI2,Annalena Hofer,5,0,0,1,0,1,0
SUI3,Viviane Kehl,7,7,1,7,0,0,3
SUI4,Stefanie Zbinden,7,2,0,2,0,0,1
SVN1,Lara Jerman,7,4,0,2,0,0,1
SVN2,Klara Nosan,5,6,0,2,0,0,0
SVN3,Maruša Pečovnik,7,3,0,6,0,0,2
SVN4,Mihaela Pušnik,7,2,0,2,2,0,1
SWE1,Olga Axell,7,1,0,1,0,0,1
SWE2,Emma Nimstad,7,0,0,0,0,0,1
SWE3,Anousha Parvaneh,1,1,0,1,0,0,0
SWE4,Sarah Tovatt,5,2,0,2,0,0,0
TUR1,Sena Nur Arbağ,7,5,0,7,2,0,3
TUR2,Çağıl Kalender,7,4,0,5,0,0,2
TUR3,Melike Ayşegül Kara,7,5,0,1,0,1,1
TUR4,Berfin Şimşek,7,7,1,7,7,3,4
UKR1,Anastasiya Alokhina,7,7,1,7,2,0,3
UKR2,Daryna Kravets,7,7,0,6,0,0,2
UKR3,Olha Tkachenko,7,6,0,7,0,0,2
UKR4,Olena Kharytonova,7,5,1,7,0,0,2
UNK1,Maria Holdcroft,7,5,0,7,0,1,2
UNK2,Elizabeth Lee,7,6,3,6,0,1,3
UNK3,Katya Richards,7,5,0,1,0,1,1
UNK4,Kasia Warburton,1,7,0,5,0,0,1
USA1,Jingyi Zhao,5,7,0,5,0,1,2
USA2,Danielle Wang,7,7,3,7,7,7,4
USA3,Alicia Weng,7,7,0,7,0,0,3
USA4,Laura Pierson,7,6,2,7,0,0,3
